Name_1,TotalCases,ActiveCases,Recovered,Death,Date,Time,NewCases,NoNewCasesSince
New Zealand,0,0,0,0,2020-01-23,11:11:11,0,0.0
Nicaragua,0,0,0,0,2020-01-23,11:11:11,0,0.0
Niger,0,0,0,0,2020-01-23,11:11:11,0,0.0
Nigeria,0,0,0,0,2020-01-23,11:11:11,0,0.0
North Macedonia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Norway,0,0,0,0,2020-01-23,11:11:11,0,0.0
Oman,0,0,0,0,2020-01-23,11:11:11,0,0.0
Pakistan,0,0,0,0,2020-01-23,11:11:11,0,0.0
Panama,0,0,0,0,2020-01-23,11:11:11,0,0.0
Papua New Guinea,0,0,0,0,2020-01-23,11:11:11,0,0.0
Paraguay,0,0,0,0,2020-01-23,11:11:11,0,0.0
Peru,0,0,0,0,2020-01-23,11:11:11,0,0.0
Philippines,0,0,0,0,2020-01-23,11:11:11,0,0.0
Poland,0,0,0,0,2020-01-23,11:11:11,0,0.0
Portugal,0,0,0,0,2020-01-23,11:11:11,0,0.0
Qatar,0,0,0,0,2020-01-23,11:11:11,0,0.0
Reunion,0,0,0,0,2020-01-23,11:11:11,0,0.0
Romania,0,0,0,0,2020-01-23,11:11:11,0,0.0
Russia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Rwanda,0,0,0,0,2020-01-23,11:11:11,0,0.0
Saint Barthelemy,0,0,0,0,2020-01-23,11:11:11,0,0.0
Saint Kitts and Nevis,0,0,0,0,2020-01-23,11:11:11,0,0.0
Saint Lucia,0,0,0,0,2020-01-23,11:11:11,0,0.0
St. Vincent Grenadines,0,0,0,0,2020-01-23,11:11:11,0,0.0
San Marino,0,0,0,0,2020-01-23,11:11:11,0,0.0
Saudi Arabia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Senegal,0,0,0,0,2020-01-23,11:11:11,0,0.0
Serbia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Seychelles,0,0,0,0,2020-01-23,11:11:11,0,0.0
Singapore,1,1,0,0,2020-01-23,11:11:11,1,0.0
Sint Maarten,0,0,0,0,2020-01-23,11:11:11,0,0.0
Slovakia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Slovenia,0,0,0,0,2020-01-23,11:11:11,0,0.0
Somalia,0,0,0,0,2020-01-23,11:11:11,0,0.0
South Africa,0,0,0,0,2020-01-23,11:11:11,0,0.0
Spain,0,0,0,0,2020-01-23,11:11:11,0,0.0
Sri Lanka,0,0,0,0,2020-01-23,11:11:11,0,0.0
St Martin,0,0,0,0,2020-01-23,11:11:11,0,0.0
